"hanzi","pinyin","english_definition"
"𧐐","jī",
"𩦘","huān",
"𩡣","yǐ",
"親","can1",
"𡌩","tā,dá",
"𡫺","fū",
"藠","kiu2",
"捿","cai1",
"𰎠","ngaam4",
"殪","ji3",
"燾","tou4",
"彵","to5",
"𤮩","duì",
"𩛆","yǐ",
"䤀","joek6",
"𱊧","kyut3",
"䯎","gon3",
"冎","gwaa2",
"挱","so1",
"䰙","yǐ",
"彧","juk1",
"𥪘","zhēn",
"𪛊","yín",
"𥉈","tì",
"㰏","gou1",
"䑊","wai4",
"䪞","zaap6",
"鑧","jin6",
"𡮙","nài",
"𣞴","lí",
"𨑣","xuè",
"䎪","nè",
"祾","ling4",
"倲","dung1",
"戝","SOKONAU",
"痄","zaa3",
"𤵂","qìn",
"龞","bit3",
"鵳","gin1",
"豒","dit6",
"𩝔","xǔ",
"䶄","ping4",
"㫻","kùn",
"鼁","heoi3",
"䌶","zi1",
"𤝅","zhōng",
"伤","soeng1",
"烯","hei1",
"瑶","jiu4",
"𬢔","dang1",
"𩴘","jù",
"𧍬","è",
"𡎻","chán",
"㺷","seot1",
"𰅥","duk6",
"𱌭","zau1",
"𡋭","bèi",
"㫭","si4",
"䇨","gung3",
"𦢊","pok1",
"𤋮","hei1",
"鋽","tiu3",
"𧺽","dì",
"騸","sin3",
"谆","zeon1",
"槝","dou2",
"㖢","ci1",
"耑","dyun1",
"蜼","wai2",
"旛","faan1",
"𢠮","tuì",
"𥍲","nà",
"獚","wong4",
"凱","hoi2",
"疏","so1",
"㶣","chán,yín",
"𪘆","xiū",
"諸","zyu1",
"𧿴","mò",
"𨻍","xù",
"㦡","lok6",
"蛮","maan4",
"撍","zaan2",
"𧗠","jin2",
"沸","fai3",
"猌","ngan6",
"惃","gwan2",
"鬂","ban3",
"𥪌","tiǎn",
"𱖖","tū",
"𫳗","dam6",
"𦒆","lā",
"㢓","zoeng3",
"䂾","lǎi",
"㒉","tǎng",
"巾","gan1",
"𧁃","xù",
"𠶸","jué",
"覤","gwik1",
"𩶖","mù",
"𧩓","fat1",
"藢","zi2",
"捹","ban3",
"殤","soeng1",
"𦧯","qì",
"燸","jyu4",
"彷","pong4",
"𫇭","wai2",
"𤗾","dāng",
"䣸","jim5",
"䶹","zo2",
"𧽞","yǎn",
"䫦","gé,kài",
"捫","mun4",
"𧺐","jué",
"𤞏","si1",
"𩥣","yáo",
"彩","coi2",
"䬡","zyu3",
"𣚦","jiàng",
"𠥹","au1",
"𤢀","xī",
"㱉","yè",
"䑄","bei6",
"槶","gui3",
"䪘","wěi,dī",
"鑙","kai1",
"𩓦","wù",
"𪍔","suǒ",
"𢥐","pèi",
"𩈼","cǎn",
"𱌽","jik1",
"禸","jau4",
"𢰊","xuān",
"偬","zung2",
"戏","hei3",
"䦸","jyu6",
"疶","sit3",
"𩯎","chéng",
"𩮛","suǒ",
"𡠒","guān",
"𤢊","lù",
"䵾","fu4",
"㫽","luk6",
"衊","mit6",
"㕛","xù",
"伞","saan3",
"鍅","faat3",
"𠛑","xián",
"瑨","zeon3",
"𠿣","yī",
"㺱","réng",
"㗯","ze2",
"㫯","mou6",
"𦈲","kāi,gǔ",
"䈚","tái",
"𩿷","tí",
"䡮","zung1",
"鋷","je4",
"騲","cou2",
"谀","jyu4",
"考","haau2",
"蜾","gwo2",
"旕","jyu1",
"𩨷","quē",
"𩪾","luán",
"獔","hou4",
"凳","dang3",
"𨳠","wǎng",
"㶕","gaan2",
"𨚮","hào",
"諲","jan1",
"㦛","yǔ,yú",
"蛰","zat6",
"猣","zung1",
"𮬢","jung1",
"衛","wai6",
"獆","hou4",
"情","cing4",
"𠍚","jiǎn",
"鷚","lau6",
"㢍","yǐng",
"䂸","gwok3",
"𢈇","shěn",
"龨","zeoi1",
"㒋","si1",
"巸","ji4",
"𤺇","biàn",
"𬘤","leoi5",
"觖","kyut3",
"𱋱","fan4",
"𢏧","xuān",
"𧣌","qiào",
"𠽒","neng2",
"藜","lai4",
"𦟔","zhì",
"殦","diu1",
"燺","huk6",
"徱","piu3",
"𦠿","sà",
"𨖭","yá",
"䫘","hé,jié,kě",
"捝","tyut3",
"䋾","zhǎ,nà",
"檘","ping4",
"彣","man4",
"𡜯","zhé",
"齻","din1",
"葶","ting4",
"㱋","kok3",
"䫊","pui4",
"鑓","hin2",
"𡯐","xiū",
"𥕥","keoi1",
"禺","jyu4",
"毧","jung2",
"偮","cap1",
"扉","fei1",
"疰","zyu3",
"𮷽","syu1",
"𩉆","shuǎ",
"𩗤","hàn",
"𪚯","cù",
"䶀","tà",
"㫷","gei1",
"䌢","ling4",
"𨼒","chǎn",
"传","cyun4",
"烛","zuk1",
"璢","lau4",
"𨩥","fēng",
"𥆲","nào",
"𣜇","jí",
"㫩","ceon1",
"䈔","gaa1",
"䡨","caai4",
"鋹","cong2",
"騤","kwai4",
"䤂","mui4",
"鼚","coeng1",
"謲","cam3",
"翽","wai3",
"䯈","wán",
"蜸","hin2",
"旇","pei1",
"𬭿","kai1",
"獖","ban6",
"𢊮","tuí",
"𥫂","tóng",
"㶏","yīn",
"諤","ngok6",
"㧍","fong2",
"蛪","kit3",
"撹","gaau2",
"薝","zim1",
"釥","ciu2",
"獈","jik6",
"悿","tim2",
"㡿","cik1",
"䂺","wo2",
"㒅","kai2",
"巺","seon3",
"𣱉","mǐn",
"犘","maa4",
"觐","gan3",
"黻","fat1",
"藎","zeon2",
"接","zip3",
"殠","cau3",
"𧔭","qiú",
"燴","wui6",
"徣","ze3",
"萁","kei4",
"𩞻","lín",
"𦽜","dàn",
"䫒","mun4",
"捗","bou6",
"𦁗","shè",
"檒","fung1",
"录","luk6",
"𠂑","zōu",
"㱅","yì",
"𪅙","chì",
"𲅂","róu",
"䫄","caat1",
"鑕","zat1",
"𩭑","niǎo",
"𦖽","yíng",
"㟕","giu3",
"𣬆","péi",
"𩖝","liáo",
"𡮂","gwik1",
"禴","joek6",
"蠭","fung1",
"偨","ci1",
"手","sau2",
"疲","pei4",
"笛","dek6",
"𰒆","mun4",
"䵺","ting5",
"㬩","huì",
"䌤","si1",
"会","wui6",
"烝","zing1",
"𧽼","tán",
"璤","wai6",
"𦮳","kei5",
"𠯄","rèn",
"摛","ci1",
"𪕨","ér",
"㫛","guàng",
"䈖","fo1",
"䡪","sin3",
"鋳","zyu3",
"騞","waak6",
"煃","kwai2",
"謬","mau6",
"𠼞","ā",
"𦾱","chāo",
"翿","dou6",
"蜪","tou1",
"𮣴","sin4",
"獐","zoeng1",
"𠔂","biāo",
"𬎑","laan6",
"槥","wai6",
"𩥆","lǜ",
"㶑","lim6",
"𤙋","qǐn",
"諞","pin4",
"𧶵","chà",
"㧇","mǎo",
"鮥","lok6",
"蜜","mat6",
"撳","gam6",
"釗","ciu1",
"仱","kim4",
"悱","fei2",
"𦭜","zhī",
"𢘉","xiá",
"㡹","jū",
"𠏃","yuē",
"䂴","yán",
"𦆦","nǐ",
"𥲤","heoi1",
"㒷","hing1",
"𩖁","niè,yá",
"𪔆","gān",
"角","gok3",
"𡣁","nì",
"絟","cyun1",
"藈","kwai1",
"控","hung3",
"毒","duk6",
"爦","laam5",
"徝","zi3",
"𡝱","fan1",
"𰵤","ngaak6",
"𠹥","dā",
"㟠","gong1",
"𡟜","goeng1",
"䫔","qì,qiè,yà,kuí",
"捙","jai6",
"𦖧","yàn",
"檄","hat6",
"𰵹","zip3",
"序","zeoi6",
"𬭀","zi6",
"㰷","zi3",
"䫆","sing4",
"鑏","ning4",
"𤹈","lì",
"𣧝","qiú",
"𫖵","ngok6",
"禦","jyu6",
"做","zou6",
"扅","ji4",
"𦔎","cè",
"疬","lik6",
"𩆦","fèi",
"𩾌","hong1",
"𢺈","luán",
"𣬫","jiè,gà",
"𩳅","shū",
"䵬","daap6",
"㬣","duì",
"𣁦","pun4",
"䍞","wik6",
"𠱛","bǐng",
"佌","ci2",
"錳","maang5",
"犢","duk6",
"𧛄","shān",
"𥝔","jié",
"𣋲","liè",
"𫚖","cai5",
"㤻","tung4",
"𡈗","mò",
"㫕","gwong1",
"𢓃","wán",
"䈐","kui2",
"䡤","zyu1",
"鈥","fo2",
"𥒢","nǎo,lì",
"騠","tai4",
"謮","zaak3",
"𣢝","xìng",
"畚","bun2",
"翹","kiu4",
"蜤","si1",
"𣒅","zhèn",
"玂","kei4",
"𥗪","jiāng",
"𱊍","zyut3",
"㷋","tán",
"諠","hyun1",
"𠶫","dà",
"𠛒","guā",
"绫","ling4",
"䃴","zyu1",
"撵","lin5",
"金","gam1",
"𥍯","qīn",
"猴","hau4",
"惫","bei6",
"𠵇","keu4",
"貉","hok6",
"𠾌","pò",
"𦱓","xǐ",
"㡻","liu6",
"𢵮","lū",
"䂦","zan1",
"𪖶","sù",
"𣊖","tiān",
"㒱","zik6",
"𡧽","huǎng,huāng",
"𫗢","zok6",
"𢧻","zhá",
"𠧛","bó",
"𰺋","zip3",
"觌","dik6",
"𢈹","duī,tuí",
"総","zung2",
"藊","bin2",
"採","coi2",
"毌","gun3",
"爠","keoi4",
"徟","zau1",
"𫔊","sau3",
"夞","ngoi6",
"𤀤","suō,shàn,shuài",
"𨵿","gwaan1",
"㾒","rú,rù",
"捓","je4",
"橾","syu1",
"䣼","loeng4",
"庑","mou5",
"𦳌","jī",
"䯊","kaa3",
"𬊈","cam4",
"㰱","shà",
"𦩲","yǒu",
"𣯩","mén",
"䫀","gan2",
"钁","fok3",
"𣻚","shù",
"𢖊","pīng",
"烊","joeng4",
"𧟙","líng",
"𢑆","quán",
"技","gei6",
"偔","ngok6",
"户","wu6",
"𥅴","gap6",
"𮷥","juk1",
"𱖲","jiàn",
"猱","naau4",
"𣥨","zī",
"䶦","zé",
"㬥","pù,bó",
"衲","naap6",
"𣷪","wǎng",
"但","daan6",
"焉","jin1",
"璐","lou6",
"𩩤","wā",
"𢏝","zhōu",
"𡱅","qū",
"𧅤","bou2",
"𬲼","jip3",
"𥾨","hú",
"㫗","hau5",
"𦳁","hào,mào",
"䈂","ping4",
"䡖","hing3",
"鈟","diu3",
"𢟩","suì",
"驚","ging1",
"𨱭","shāo",
"謨","mou4",
"𢇘","yǎn",
"蜦","leon4",
"𨖳","yuān",
"獼","mei4",
"㶽","wo1",
"𡮿","chān",
"謚","si3",
"𥜖","bó",
"㧃","sau1",
"𠝬","sōu",
"蜘","zi1",
"撯","zoek3",
"鍡","wui2",
"献","hin3",
"㳯","san1",
"𫽊","gaau2",
"𢁬","zhǎo",
"𢓘","tóng,tāo",
"貃","mak6",
"㢵","hip3",
"𱊇","guk1",
"䰜","lik6",
"𤣌","xiào",
"㒳","loeng5",
"𧕸","huáng",
"覾","sam2",
"𱜬","liàng",
"𢅁","zhì",
"緉","loeng5",
"蘄","kei4",
"掓","suk1",
"毎","mui5",
"爢","mei4",
"徙","saai2",
"崒","zyut6",
"夐","hyun3",
"𩙇","suí",
"𦺢","jié",
"𢾳","pǎo",
"傢","gaa1",
"抅","keoi1",
"檀","taan4",
"𩐙","qìn",
"庋","gwai2",
"𦥻","zhuì",
"㰳","aa3",
"𦕈","miu5",
"䪲","kūn",
"鑻","paan3",
"𢓮","xiāo",
"𧦤","jiā",
"㺖","hǎn",
"𢄸","cuì",
"𠌟","sǒu",
"禢","taap3",
"偖","ce2",
"戱","hei3",
"仳","pei2",
"𩍅","tóng",
"𩣮","tù",
"幯","zit3",
"兹","zi1",
"𡜀","fàn",
"𫄟","si1",
"䶨","zhān",
"㬟","fan1",
"䍊","gaau1",
"𩱘","kè",
"䦞","rùn",
"焃","haak1",
"璊","mun4",
"𥔿","ham2",
"𧼤","dào",
"𧅆","jiǎn",
"㨑","zung1",
"䈼","mit6",
"𦾙","bèi",
"䢐","cou4",
"鈡","zung1",
"驌","suk1",
"𣸒","tí",
"𫚛","dyut6",
"𥢔","zhuó,zhào",
"𣸋","quǎn",
"蝠","fuk1",
"临","lam4",
"䙳","biu1",
"仝","tung4",
"獾","fun1",
"𩐌","duì",
"㶷","ceon4",
"𫂃","man5",
"謌","go1",
"𨄋","lòu",
"鴗","lap6",
"绗","hong4",
"䃰","caat3",
"擡","toi4",
"𨲜","piān",
"鈍","deon6",
"𫊸","giu2",
"猰","aat3",
"惧","geoi6",
"𧬆","zin2",
"貅","jau1",
"𩂦","bèng",
"㢧","gyun2",
"𥗶","lèi",
"䰎","kuì",
"𤉦","wō",
"𭣧","jik6",
"觸","zuk1",
"𭀖","lí",
"緋","fei1",
"𦸰","chǎn",
"藶","lik6",
"掍","wan6",
"毈","dyun6",
"爜","cung4",
"忋","goi2",
"崔","ceoi1",
"㤵","ci4",
"𨎤","dèng",
"夊","seoi1",
"𢦰","yuè",
"𨨚","chào",
"㞓","hei3",
"痈","jung1",
"㾎","yā,xiā",
"承","sing4",
"檺","gou2",
"癣","sin2",
"胮","pong1",
"幽","jau1",
"𩾚","dīng",
"𤣶","jīn",
"㱭","dyun6",
"𣁻","liè,luō",
"鄺","kwong3",
"鑽","zyun3",
"傐","hou6",
"戳","coek3",
"雩","jyu4",
"𬶋","keoi1",
"幩","fan4",
"㾏","jiè,yá",
"𨃳","néng",
"䶢","gaam1",
"㬑","gwok3",
"竟","ging2",
"䍌","bù",
"釩","faan4",
"鍩","nok6",
"璌","jan4",
"菪","dong6",
"𦽀","ǎo",
"㨃","deoi2",
"䈾","shāo,shuò",
"䢒","gaau1",
"鈛","gwo1",
"𠷄","kè",
"驆","bit1",
"㰍","lung4",
"𢳀","mó,mā",
"譔","zaan6",
"蝒","min4",
"並","bing6",
"濱","ban1",
"獸","sau3",
"拽","jai6",
"𣣏","hūn",
"㶹","hung6",
"謆","sin3",
"给","kap1",
"𰪏","lou6",
"蜄","shèn,zhèn",
"擛","jip6",
"釿","gan1",
"𱂎","haai6",
"㵰","zeoi6",
"惙","zyut3",
"豿","gau2",
"𨑒","tou4",
"𰾷","zaam1",
"㢡","zoeng2",
"𤇜","mín",
"䃜","yī",
"㒟","niu5",
"駀","jau6",
"觺","ji4",
"緅","zau1",
"𥡜","luó,suì",
"藰","lau4",
"掏","tou4",
"𣒇","tū",
"殺","saat3",
"𥘬","fú",
"爎","liu4",
"必","bit1",
"崎","kei1",
"夌","ling4",
"𤠀","zá",
"㞕","sit3",
"㿀","baan1",
"抁","jin5",
"𬨆","gung2",
"檬","mung1",
"胠","keoi1",
"幷","bing6",
"𮐚","faan4",
"𨶆","qiāng",
"𢂀","fú",
"鍛","dyun3",
"䧮","hin3",
"鑷","nip6",
"𣩅","kǎo",
"𨹈","shǎn,yáng",
"𤝻","yí",
"𧇦","kǎn",
"傂","zhì,sī",
"扭","nau2",
"𥓾","qì",
"幫","bong1",
"𣽌","kǎn",
"䶔","ci4",
"㭋","bàng",
"䍆","zhù",
"𰰱","deoi6",
"伴","bun6",
"烿","jung4",
"𬏟","gai3",
"瓆","zat1",
"𦰸","xīn",
"𱿯","wāi",
"𠝝","zhé,zhá",
"𢔑","quǎn",
"𧂈","ziu2",
"𨜽","yí",
"㧜","laap6",
"㧽","gu3",
"䈸","huk6",
"𥰢","shàn",
"䢌","but3",
"𤢁","huàn",
"𪢐","laai6",
"驈","wat6",
"𦲷","lei6",
"𥢷","dāng",
"㯕","sai1",
"𩱻","guǐ",
"其","kei4",
"蝌","fo1",
"丠","kei3",
"濣","waat3",
"𥄱","fèi",
"獪","kui2",
"𥬞","nip6",
"𡓖","jiāo",
"㶳","zeon6",
"謈","bok6",
"㧱","naa4",
"𡾻","cáng",
"蘾","waai6",
"擝","mang1",
"䝰","zi6",
"釹","neoi5",
"𡻭","lěi",
"餴","ban1",
"惓","kyun4",
"𥜶","kuí",
"𡀙","kū",
"裘","kau4",
"㢣","king4",
"𧃏","chù",
"䱊","mai5",
"㓙","hung1",
"𢨺","liáo",
"𡚛","bǐng",
"觴","soeng1",
"𨁹","yǎn",
"𡻘","kē",
"綷","ceoi3",
"𨆏","suì",
"藲","au1",
"揉","jau4",
"版","baan2",
"忇","lak6",
"崀","long6",
"𱇸","jing6",
"𫎫","taam5",
"𤫵","kuò,guó",
"㱴","zì",
"夆","fung1",
"𩲪","qí",
"㞏","zhé,jié",
"䫶","fan4",
"扻","ham2",
"𧽓","qì",
"檦","biu2",
"𨡣","yàn",
"胚","pui1",
"幹","gon3",
"𠱫","è",
"𦉎","suī",
"𨉸","qí",
"𨢥","mai4",
"𨺫","qiǎn",
"𫣉","laam4",
"䧨","yè",
"鑩","ngok6",
"𥿭","xì",
"𢍓","gǎi",
"𮯴","ngai4",
"𨾡","suī,huǎng",
"偼","zit3",
"扟","san1",
"榚","jiu5",
"𣲖","pài,liú,gū",
"幥","zoeng2",
"𥤊","quán",
"抄","caau1",
"𩢮","xiū",
"𦒦","là",
"䶎","hē",
"㭍","cat1",
"袚","fat1",
"𧅖","yì",
"佮","gap3",
"烱","gwing2",
"𢒲","xǐ",
"璸","ban1",
"𣬩","fēn",
"𢊅","zhuì",
"𪏿","zhū",
"䈪","xì",
"𥑽","nuò",
"䡾","niè,yè,yǐ",
"鉇","si1",
"驂","caam1",
"𤼳","jú",
"𣷶","sǔ",
"𦿌","luó",
"㬍","bok3",
"蝎","hot3",
"𢾊","chéng",
"丢","diu1",
"濝","kei4",
"玤","bung2",
"粅","mat6",
"𨪳","ruàn",
"謂","wai6",
"𩪁","guì",
"㧫","ér,ruán,ruí",
"𡢡","kwan4",
"虀","zai1",
"擗","pik1",
"䝪","so2",
"釻","jyun4",
"𤼙","luán",
"牖","jau5",
"惕","tik1",
"𪍲","tì",
"𠿓","sà",
"𧼰","zhá",
"𱕰","léi",
"㢝","sou1",
"㴃","leoi6",
"䃈","gaai1",
"𧩃","chōng",
"𢓭","seon1",
"㵅","tān,tàn",
"㾉","ling4",
"𢣠","liù",
"𪚻","yāng",
"𩉕","guó",
"触","zuk1",
"𱉮","lok6",
"緱","gau1",
"逡","seon1",
"藬","teoi1",
"掻","sou1",
"鶨","cyun3",
"牊","ciu4",
"忁","bou3",
"峺","gang2",
"𧲗","wéi",
"夸","kwaa1",
"㞁","yào",
"𥅺","xú",
"㾼","teoi2",
"𪃏","méi",
"檨","ce1",
"胜","sing3",
"庳","bei1",
"𩏿","wěi",
"𡦃","qióng",
"𨺦","sǒu",
"𰾱","cung1",
"𤪻","syun4",
"䧚","hou6",
"𠥔","wui6",
"偾","fan5",
"扙","zoeng6",
"榔","long4",
"𩠆","dìng",
"幗","gwok3",
"𩴲","méng",
"䶐","wài,huì",
"㭇","yuàn",
"𦟣","biǎn",
"袜","mat6",
"䧆","hung4",
"鍗","tai4",
"𪗐","zī",
"璲","seoi6",
"𩂈","cam3",
"𩓼","piē",
"𤝸","bī",
"𧃑","qián",
"㧹","tik1",
"䈤","kim4",
"𥢶","kuài",
"䡸","mit6",
"鉉","jyun5",
"驴","lou4",
"𠏢","luò",
"𪄊","qú",
"袲","ji4",
"𡬐","yí",
"蝈","gwok3",
"东","dung1",
"濟","zai3",
"𡫂","juǎn",
"玦","kyut3",
"𨽨","qián",
"𦀸","mào",
"訴","sou3",
"𠍗","huì",
"绿","luk6",
"蘺","lei4",
"擉","cok3",
"䝬","zyu3",
"釵","caai1",
"𧈯","yū",
"餠","beng2",
"𢫔","shàn,quán",
"𣽯","tān",
"𤾵","bié",
"门","mun4",
"疪","bei3",
"㣏","zing6",
"䃊","zeoi2",
"㓕","mit6",
"𩏩","xiǎn",
"𥅽","daap3",
"韁","goeng1",
"觠","kyun4",
"𪏗","biān",
"𦯅","xù",
"緳","kit3",
"𡽜","án",
"蘞","lim5",
"掵","ming6",
"牄","coeng1",
"徳","dak1",
"峼","kuk1",
"𧮮","qiān",
"𣻺","gei1",
"夲","tou1",
"㝻","gan2",
"𠗠","maang6",
"㾶","gwat1",
"抧","zi2",
"檢","gim2",
"𣅄","yòu",
"胖","bun6",
"庥","jau1",
"𤨣","gau3",
"馯","hon6",
"𣸱","jyun2",
"𱮜","tān",
"䧔","nim6",
"𣶣","tuán",
"𩨄","sau1",
"𩝌","suì",
"𰱩","leoi4",
"𡏅","long5",
"莼","seon4",
"扛","gong1",
"榆","jyu4",
"㶪","pui1",
"嶑","zoeng6",
"㬹","zaang1",
"𨆵","pǒ",
"袖","zau6",
"㾓","jyun1",
"焭","king4",
"㶭","yǒu",
"璴","co2",
"𠟋","yào",
"𥴠","zyun2",
"㨫","laam5",
"䈦","zung1",
"𪔪","qì",
"䡺","wai6",
"鉃","si6",
"驮","to4",
"𦘦","siu6",
"𬧀","coeng1",
"菜","coi3",
"蝺","geoi2",
"乎","fu4",
"濙","jing4",
"玠","gaai3",
"𩱈","chǎo",
"𪅶","cong2",
"訮","ngaan4",
"𨭛","là,gě",
"缁","zi1",
"𢐆","jiān",
"蘬","kuī,huǐ,guī",
"𣒂","diàn",
"䝦","zung1",
"鄧","dang6",
"牒","dip6",
"𦣥","mì",
"𦭲","qí",
"𤣨","yì",
"㣉","gung1",
"䰰","rú",
"㵌","ceon4",
"𤭛","gong1",
"㓇","juk1",
"𥳏","jī",
"𤃮","zhuó",
"𪘒","ān",
"觢","sai6",
"𢺼","jì",
"緭","wai6",
"蘘","joeng4",
"掷","zaak6",
"𬬲","pik1",
"父","fu6",
"忭","bin6",
"𢧅","qiáng",
"𨽗","bīn,pín",
"讋","zip3",
"头","tau4",
"𤩏","cing4",
"㝽","chuí",
"蓊","jung2",
"抩","naam4",
"𱊖","dat6",
"磝","ngou4",
"脈","mak6",
"废","fai3",
"𤯌","gān",
"𦂆","huì",
"𣰈","jī",
"𠲾","shuò",
"㺚","tǎ",
"粇","hong1",
"𪗻","zhì",
"𠑙","chòng",
"矽","zik6",
"鱓","to4",
"堠","hau6",
"𡵌","chā",
"𧺾","pǎn",
"侪","caai4",
"払","faan2",
"𣦦","guì",
"榀","ban2",
"嶓","bo1",
"𦫈","lǐ",
"𤲭","dǎn",
"𣩓","jiǎo",
"㬳","ng5",
"袈","gaa1",
"𥲕","zǐ",
"作","zok3",
"焧","cung1",
"璮","taan2",
"鞃","wang4",
"𢨟","xī,xì",
"傅","fu6",
"𬴂","fei1",
"𨌔","wǎn,wàn",
"𨥪","dǒu",
"㨥","nà",
"䉠","mei4",
"𱶡","gàn",
"䢴","cin1",
"鈵","bing3",
"𥭋","jì",
"驰","ci4",
"㧰","lik6",
"㼈","lo4",
"𣛷","zhǎn",
"蝴","wu4",
"么","maa1",
"瀋","sam2",
"玒","gung1",
"𩗪","zhòu",
"𥫢","chǎ",
"𨒫","yáng,nì",
"訰","zeon3",
"𰺗","laam6",
"𦴨","kwan3",
"㧙","pit3",
"䄄","yīn",
"务","mou6",
"䝘","yì",
"鄡","hiu1",
"𤥂","jik6",
"犄","gei1",
"𬥷","zaang1",
"𡷢","wáng",
"𩑁","é",
"㣋","daan1",
"㿶","bong1",
"𩤯","jing1",
"㓁","mong5",
"𠮑","jū",
"𨷃","suì",
"𣫉","kuǎi",
"𪑶","róu",
"訜","fan1",
"𠁷","chǎn",
"緟","cung5",
"蘚","sin2",
"掱","paa4",
"𤮊","kāng",
"𰽴","kwaa1",
"爰","wun4",
"忯","kei4",
"𧥴","yàng",
"讅","sam2",
"央","joeng1",
"糑","nik1",
"蓌","co3",
"抣","gwan1",
"𩰽","zōng",
"磗","zyun1",
"儌","giu2",
"庡","ji2",
"𦍴","xiáng",
"𣍛","yù",
"𠟊","xī",
"𤝉","yě",
"㺔","hài,huī",
"尔","ji5",
"𩴜","yì",
"堒","kwan1",
"𧺣","zōng",
"𨪐","dòu,tōu",
"莸","jau4",
"憇","hei3",
"𫄴","leot6",
"概","koi3",
"嶍","zaap6",
"𦤕","yuè",
"㬵","gaau1",
"𣒗","hat6",
"袂","mai6",
"睲","sing2",
"佖","bit1",
"鍽","bin1",
"𨸜","hāi",
"𪊵","yǐng",
"𡺺","qióng",
"𮷻","lau4",
"𣛶","shā",
"㨧","bèn",
"𢛓","lán",
"䉒","fán",
"䢦","seot1",
"鈯","dat6",
"驪","lei4",
"𤄥","tà",
"镲","caa2",
"𠱷","ming1",
"靀","mung4",
"蝶","dip6",
"乊","fu4",
"瀅","jing4",
"玌","kau4",
"𩈲","suàn",
"鼰","gwik1",
"䄹","nin4",
"𡭷","guān",
"𬘬","sin6",
"訪","fong2",
"𠐁","méng",
"𦫯","xùn",
"㤓","ban6",
"𢩹","xià",
"䄾","rù,rǒng",
"䞒","dung6",
"鄣","zoeng1",
"饎","ci3",
"𤣿","hoi1",
"𱲎","yìng",
"胭","jin1",
"㭖","doi6",
"㣅","zàn",
"㿰","áo,bì",
"𩠊","tuán",
"㓃","dou3",
"𧝘","bào",
"豶","fan4",
"𢄷","liáo",
"𥍮","féng,fēng",
"討","tou2",
"鱗","leon4",
"緙","kaak1",
"㾝","ce3",
"揣","ceoi2",
"𰘀","daai3",
"𤵀","jì",
"辚","leon4",
"爲","wai4",
"忩","cung1",
"𤖭","pán",
"讇","cim2",
"夠","gau3",
"糋","zin3",
"䭫","kai2",
"蔆","ling4",
"投","tau4",
"𧕡","fù",
"磉","song2",
"脄","mui4",
"庛","ci3",
"𱅦","wong4",
"倌","gun1",
"𦶚","fěn",
"𢆩","bìng",
"𢳇","zhuó,zú",
"𨠹","nǎn",
"𣧬","xiǔ",
"䨂","cau1",
"𠷢","xián",
"麓","luk1",
"尖","zim1",
"堌","gu3",
"𨱍","long4",
"𣟉","huài",
"𢋻","yǐn",
"侦","zing1",
"憁","zung2",
"𡀿","lǜ",
"榼","hap6",
"翰","hon6",
"嵿","ding2",
"𩗱","xī",
"𦧤","tiè",
"𥉖","wèi",
"㭯","zhé,dié",
"袄","ou2",
"佘","se4",
"焓","ham4",
"𧌎","tiǎn",
"𩈤","chù",
"𡟺","haa6",
"嵱","yǒng,yóng",
"𠄉","dòng",
"𡥎","cí,zǐ",
"䝯","yì",
"𤘅","yá",
"㨡","hún",
"䉌","seoi6",
"儁","zeon3",
"䢠","sung3",
"鈱","man4",
"𦎚","chì",
"驜","jip6",
"𡫬","jū",
"𣦐","gāng",
"𮴓","kiu4",
"𣼚","tān",
"蝰","kwai1",
"乄","ngau1",
"瀇","wong2",
"玎","ding1",
"𡪙","àn",
"𦵯","xiá",
"𡧹","dài",
"䨅","liu4",
"𢭄","jì",
"㤅","oi3",
"𢧜","tit3",
"䅀","lit6",
"䞔","mei5",
"鄝","liu5",
"𡪠","céng",
"犀","sai1",
"𱋶","lou1",
"𦻀","tí,tái",
"纾","syu1",
"𢬼","dùn",
"㢷","seoi3",
"𨆇","chà",
"㓽","sung4",
"疮","cong1",
"𨻃","fèi",
"計","gai3",
"𩐜","páo",
"睼","tin3",
"緛","jyun5",
"𦕃","daam1",
"蘆","lou4",
"揝","zaan2",
"𦼿","dūn",
"鞅","joeng1",
"煬","joeng4",
"忛","faan4",
"𥅘","zhěn,mí",
"𪌩","tián",
"讁","zaak6",
"奚","hai4",
"𧥄","jí",
"㞣","fan1",
"苛","ho1",
"蓸","cou4",
"抏","wán",
"𩸎","dìng",
"櫊","gok3",
"𣩢","liào",
"胾","zi3",
"廍","bou6",
"𠻻","bai3",
"𤾀","caak3",
"𧵠","pài",
"𫼛","diào",
"𩡎","xiū",
"㚕","fú",
"𩐾","lè",
"㺐","lǎo,sāo",
"䅃","kung4",
"麅","paau4",
"尐","zit3",
"𧶍","xù",
"𡬓","yí",
"䏉","shī",
"堎","ling4",
"魒","piu1",
"𩋨","fú",
"菤","gyun2",
"憃","cung1",
"榮","wing4",
"𩼨","yí",
"翢","duk6",
"嵹","koeng4",
"𣿫","dip6",
"䶲","nán",
"𬡇","niu5",
"侒","on1",
"焕","wun6",
"𤛱","zhì",
"嵫","zi1",
"𩎖","qín,qián",
"𣣑","sǐ",
"㨓","lou4",
"䉎","tong4",
"僻","pik1",
"䢢","cong3",
"鉫","gaa1",
