hanzi,other_hanzi,relation
复,复,traditional
复,復,traditional
复,複,traditional
复,覆,traditional
够,彀,semantic
够,夠,semantic
够,够,simplified
够,够,traditional
够,夠,traditional
夠,够,semantic
夠,彀,semantic
夠,够,simplified
夢,梦,semantic
夢,夣,semantic
夢,梦,simplified
夣,夢,semantic
夥,伙,simplified
夥,夥,simplified
夥,夥,traditional
天,靝,semantic
天,𫯛,spoofing
夯,䂫,semantic
头,头,simplified
头,头,traditional
头,頭,traditional
夸,誇,semantic
夸,夸,simplified
夸,夸,traditional
夸,誇,traditional
夹,夾,traditional
夺,奪,traditional
夾,夹,simplified
奁,奩,traditional
奂,奐,traditional
奇,竒,semantic
奈,柰,semantic
奋,奮,traditional
奎,㚝,semantic
奎,奞,semantic
奐,奂,simplified
奔,犇,semantic
奕,弈,semantic
奖,奬,traditional
奖,獎,traditional
奞,㚝,semantic
奞,奎,semantic
奥,奧,traditional
奧,奥,simplified
奨,奬,traditional
奨,奬,z-variant
奨,獎,z-variant
奩,匳,semantic
奩,奁,simplified
奪,夺,simplified
奫,𫯶,simplified
奬,奖,simplified
奬,奨,simplified
奬,奨,z-variant
奬,獎,z-variant
奮,奋,simplified
奯,𫯥,simplified
奲,𫰂,simplified
奶,妳,semantic
奶,嬭,semantic
奸,奸,simplified
奸,奸,traditional
奸,姦,traditional
她,他,semantic
奼,姹,simplified
妆,妝,traditional
妇,婦,traditional
妈,媽,traditional
妊,姙,semantic
妒,妬,semantic
妙,玅,semantic
妝,粧,semantic
妝,妆,simplified
妤,伃,semantic
妩,嫵,traditional
妪,嫗,traditional
妫,媯,traditional
妫,嬀,traditional
妬,妒,semantic
妳,奶,semantic
妳,嬭,semantic
妹,妺,spoofing
妺,妹,spoofing
姆,姥,semantic
姉,姊,semantic
姊,姉,semantic
姍,姗,semantic
姍,姗,simplified
姗,姍,semantic
姗,姗,simplified
姗,姍,traditional
姗,姗,traditional
姙,妊,semantic
姜,姜,simplified
姜,姜,traditional
姜,薑,traditional
姣,㚣,semantic
姥,姆,semantic
姦,奸,simplified
姹,姹,simplified
姹,奼,traditional
姹,姹,traditional
姻,婣,semantic
娄,娄,simplified
娄,娄,traditional
娄,婁,traditional
娅,婭,traditional
娆,嬈,traditional
娇,娇,simplified
娇,娇,traditional
娇,嬌,traditional
娈,娈,simplified
娈,娈,traditional
娈,孌,traditional
娘,孃,semantic
娙,𫰛,simplified
娛,娱,simplified
娛,娯,z-variant
娛,娱,z-variant
娠,㛛,semantic
娩,㝃,semantic
娬,嫵,semantic
娯,娛,z-variant
娯,娱,z-variant
娱,娱,simplified
娱,娛,traditional
娱,娱,traditional
娱,娛,z-variant
娱,娯,z-variant
娲,媧,traditional
娴,嫻,traditional
娿,婀,semantic
婀,娿,semantic
婁,娄,simplified
婡,𫝫,simplified
婣,姻,semantic
婦,媍,semantic
婦,妇,simplified
婬,淫,semantic
婭,娅,simplified
婳,嫿,traditional
婴,嬰,traditional
婵,嬋,traditional
婶,嬸,traditional
婸,𰋸,simplified
婿,壻,semantic
媁,𫰍,simplified
媆,嫩,semantic
媈,𫝨,simplified
媍,婦,semantic
媜,𰌂,simplified
媧,娲,simplified
媪,媼,traditional
媭,嬃,traditional
媯,妫,simplified
媯,嬀,z-variant
媰,㛀,simplified
媲,𡠌,z-variant
媼,媪,simplified
媽,妈,simplified
媿,愧,semantic
嫈,𰌀,simplified
嫉,𡜱,semantic
嫒,嬡,traditional
嫔,嬪,traditional
嫕,嫛,semantic
嫗,妪,simplified
嫛,嫕,semantic
嫢,𫰹,simplified
嫥,𰋹,simplified
嫧,𰌇,simplified
嫩,媆,semantic
嫩,𡞾,semantic
嫫,嬷,semantic
嫱,嬙,traditional
嫵,娬,semantic
嫵,妩,simplified
嫺,嫻,semantic
嫻,嫺,semantic
嫻,娴,simplified
嫿,婳,simplified
嬀,妫,simplified
嬀,媯,z-variant
嬃,媭,simplified
嬅,𫰡,simplified
嬇,𫝬,simplified
嬈,娆,simplified
嬋,婵,simplified
嬌,撟,semantic
嬌,娇,simplified
嬐,𫰰,simplified
嬒,𫰢,simplified
嬙,嫱,simplified
嬝,𮱒,simplified
嬟,𮰸,simplified
嬡,嫒,simplified
嬣,𪥰,simplified
嬤,嬷,simplified
嬦,𫝩,simplified
嬧,𮱁,simplified
嬪,𡴓,semantic
嬪,嫔,simplified
嬭,奶,semantic
嬭,妳,semantic
嬮,𰋽,simplified
嬰,孾,semantic
嬰,婴,simplified
嬷,嫫,semantic
嬷,嬤,traditional
嬸,婶,simplified
嬻,𪥿,simplified
嬾,𰌙,simplified
孀,霜,semantic
孃,娘,semantic
孄,𫝮,simplified
孆,𫝭,simplified
孇,𪥫,simplified
孋,㛤,simplified
孌,娈,simplified
孎,𡠟,simplified
孏,𮰾,simplified
子,只,semantic
孙,孙,simplified
孙,孙,traditional
孙,孫,traditional
季,𮱜,spoofing
学,學,traditional
孪,孪,simplified
孪,孪,traditional
孪,孿,traditional
孫,孙,simplified
孭,𧴯,semantic
孲,𰌦,simplified
學,斈,semantic
學,学,simplified
孻,𡥧,simplified
孼,孽,semantic
孽,孼,semantic
孾,嬰,semantic
孾,𪧀,simplified
孿,孪,simplified
宁,宁,simplified
宁,宁,traditional
宁,寧,traditional
宂,冗,semantic
它,佗,semantic
它,牠,semantic
完,烟,semantic
完,煙,semantic
宐,宜,semantic
宜,宐,semantic
宝,寚,semantic
宝,寳,semantic
宝,寶,semantic
宝,宝,simplified
宝,宝,traditional
宝,寶,traditional
实,实,simplified
实,实,traditional
实,實,traditional
宠,寵,traditional
审,審,traditional
宪,憲,traditional
宫,宮,traditional
宮,宫,simplified
宴,讌,semantic
家,家,simplified
家,傢,traditional
家,家,traditional
宻,密,semantic
宼,寇,semantic
宽,寬,traditional
宾,宾,simplified
宾,宾,traditional
宾,賓,traditional
宿,㝛,semantic
寃,冤,semantic
密,宻,semantic
寇,宼,semantic
寍,寧,semantic
寔,實,semantic
寕,寜,semantic
寗,甯,semantic
寘,置,semantic
寚,宝,semantic
寚,寳,semantic
寜,寕,semantic
寝,寢,traditional
察,詧,semantic
寠,窶,semantic
寠,𪧘,simplified
寡,關,semantic
寢,寝,simplified
實,寔,semantic
實,实,simplified
寧,寍,semantic
寧,𡨴,semantic
寧,宁,simplified
寨,砦,semantic
審,审,simplified
寪,𰌷,simplified
寫,冩,semantic
寫,写,simplified
寬,宽,simplified
寯,㝦,semantic
寯,𮱠,semantic
寯,㝦,simplified
寳,宝,semantic
寳,寚,semantic
寳,寶,semantic
寵,𠖥,semantic
寵,宠,simplified
寶,宝,semantic
寶,寳,semantic
寶,宝,simplified
寷,𫲸,simplified
对,對,semantic
对,对,simplified
对,对,traditional
对,對,traditional
寻,尋,traditional
导,導,traditional
寿,壽,semantic
寿,夀,semantic
寿,寿,simplified
寿,壽,traditional
寿,寿,traditional
尀,叵,semantic
尃,旉,semantic
尃,敷,semantic
尅,剋,semantic
将,𤕭,semantic
将,將,traditional
將,𤕭,semantic
將,将,simplified
專,耑,semantic
專,𡵏,semantic
專,专,simplified
尋,寻,simplified
對,对,semantic
對,对,simplified
導,导,simplified
尒,尔,semantic
尒,爾,semantic
尔,尒,semantic
尔,爾,semantic
尔,尔,simplified
尔,尔,traditional
尔,爾,traditional
尗,叔,semantic
尘,塵,traditional
尝,尝,simplified
尝,嘗,traditional
尝,尝,traditional
尢,尣,semantic
尣,尢,semantic
尧,堯,traditional
尨,狵,semantic
尩,㑌,semantic
尰,腫,semantic
尲,尷,semantic
尴,尷,traditional
尷,尲,semantic
尷,尴,simplified
尸,屍,semantic
尸,尸,simplified
尸,尸,traditional
尸,屍,traditional
尻,䯌,semantic
尽,盡,semantic
尽,尽,simplified
尽,儘,traditional
尽,尽,traditional
尽,盡,traditional
层,層,traditional
屃,屓,traditional
居,㞐,semantic
屆,届,semantic
屆,届,simplified
屉,屜,semantic
屉,屜,traditional
届,屆,semantic
届,届,simplified
届,屆,traditional
届,届,traditional
屍,尸,semantic
屍,尸,simplified
屓,屃,simplified
屜,屉,semantic
屜,𡲕,semantic
屜,屉,simplified
属,𡱆,semantic
属,屬,semantic
属,属,simplified
属,属,traditional
属,屬,traditional
屡,屡,simplified
屡,屡,traditional
屡,屢,traditional
屢,屡,simplified
屣,蹝,semantic
屣,躧,semantic
層,层,simplified
屦,屨,traditional
屨,屦,simplified
屩,𪨗,simplified
屬,属,semantic
屬,𡱆,semantic
屬,属,simplified
屿,嶼,traditional
岀,出,semantic
岁,亗,semantic
岁,歲,semantic
岁,𡻕,semantic
岁,岁,simplified
岁,岁,traditional
岁,歲,traditional
岂,豈,traditional
岖,嶇,traditional
岗,崗,traditional
岘,峴,traditional
岙,嶴,traditional
岚,嵐,traditional
岛,島,traditional
岡,崗,semantic
岡,冈,simplified
岨,砠,semantic
岩,巖,semantic
岭,嶺,traditional
岽,崬,traditional
岿,巋,traditional
峃,嶨,traditional
峄,嶧,traditional
峒,洞,semantic
峡,峽,traditional
峣,嶢,traditional
峤,嶠,traditional
峥,崢,traditional
峦,峦,simplified
峦,峦,traditional
峦,巒,traditional
峨,峩,semantic
峩,峨,semantic
峭,陗,semantic
峯,峰,semantic
峰,峯,semantic
峴,岘,simplified
島,岛,simplified
峽,峡,simplified
崂,嶗,traditional
崃,崍,traditional
崄,嶮,traditional
崍,崃,simplified
崎,㟢,semantic
崎,埼,semantic
崎,嵜,semantic
崎,碕,semantic
崎,陭,semantic
崎,﨑,semantic
崎,𥔎,semantic
崒,崪,semantic
崔,磪,semantic
崖,厓,semantic
崗,岡,semantic
崗,岗,simplified
崘,崙,semantic
崙,侖,semantic
崙,崘,semantic
崙,𪨧,simplified
崠,𰎏,simplified
崢,峥,simplified
崧,嵩,semantic
崪,崒,semantic
崬,岽,simplified
崭,嶄,traditional
崱,𰎖,simplified
崵,𫵵,simplified
嵐,岚,simplified
嵒,喦,spoofing
嵗,歲,semantic
嵘,嶸,traditional
嵚,嶔,traditional
嵜,㟢,semantic
嵜,埼,semantic
嵜,崎,semantic
嵜,碕,semantic
嵜,陭,semantic
嵜,﨑,semantic
嵜,𥔎,semantic
嵝,嶁,traditional
嵠,谿,semantic
嵩,崧,semantic
嵷,𰎌,simplified
嵸,𡵝,simplified
嵼,𡶴,simplified
嵽,𫶇,simplified
嵾,㟥,simplified
嶁,嵝,simplified
嶃,磛,semantic
嶄,巉,semantic
嶄,崭,simplified
嶇,㠊,semantic
嶇,岖,simplified
嶈,𡺃,simplified
嶎,蔚,semantic
嶔,嵚,simplified
嶗,崂,simplified
嶝,磴,semantic
嶠,峤,simplified
嶢,峣,simplified
嶤,𰎔,simplified
嶧,峄,simplified
嶨,峃,simplified
嶩,旳,semantic
嶩,𰎞,simplified
嶪,𰎑,simplified
嶮,崄,simplified
嶴,岙,simplified
嶸,嵘,simplified
嶹,𫝵,simplified
嶺,岭,simplified
嶼,屿,simplified
嶽,𰎫,simplified
巃,𰎎,simplified
巅,巔,traditional
巆,𫶕,simplified
巉,嶄,semantic
巊,𪩎,simplified
巋,岿,simplified
巍,魏,semantic
巑,𰏁,simplified
巒,峦,simplified
巔,巅,simplified
巖,岩,semantic
巖,𰎠,simplified
巗,𪨷,simplified
巘,𪩘,simplified
巚,𰎹,simplified
巛,川,semantic
川,巛,semantic
巠,𢀖,simplified
巡,廵,semantic
巤,鬣,semantic
巩,鞏,traditional
巯,巰,traditional
巰,巯,simplified
巽,𢁉,spoofing
帀,匝,semantic
帀,迊,semantic
币,幣,traditional
帅,帥,traditional
帆,㠶,semantic
帆,颿,semantic
师,师,simplified
师,师,traditional
师,師,traditional
帋,紙,semantic
帏,幃,traditional
帐,帳,traditional
帒,袋,semantic
帘,帘,simplified
帘,帘,traditional
帘,簾,traditional
帙,袠,semantic
帚,箒,semantic
帜,幟,traditional
帡,帲,z-variant
帥,帅,simplified
带,帶,traditional
帧,幀,traditional
師,师,simplified
帬,裙,semantic
帮,幫,semantic
帮,幇,semantic
帮,帮,simplified
帮,帮,traditional
帮,幫,traditional
帱,幬,traditional
帲,帡,z-variant
帳,賬,semantic
帳,帐,simplified
帴,𰏕,simplified
帶,带,simplified
帻,幘,traditional
帼,幗,traditional
幀,帧,simplified
幂,鼏,semantic
幂,幂,simplified
幂,冪,traditional
幂,幂,traditional
幃,帏,simplified
幇,帮,semantic
幇,幫,semantic
幐,㬺,spoofing
幑,㫎,semantic
幓,㡎,simplified
幕,幙,semantic
幗,帼,simplified
幘,帻,simplified
幙,幕,semantic
幞,襮,semantic
幟,旘,semantic
幟,帜,simplified
幠,𭘓,simplified
幡,旛,semantic
幣,币,simplified
幩,𪩸,simplified
幫,帮,semantic
幫,幇,semantic
幫,帮,simplified
幬,帱,simplified
幰,𫷉,simplified
幱,𰏟,simplified
干,干,simplified
干,乾,traditional
干,干,traditional
干,幹,traditional
幵,开,semantic
并,並,semantic
并,幷,semantic
并,竝,semantic
并,并,simplified
并,並,traditional
并,併,traditional
并,并,traditional
幷,並,semantic
幷,并,semantic
幷,竝,semantic
幸,倖,semantic
幹,干,simplified
幺,么,semantic
幺,么,simplified
幾,几,simplified
广,广,simplified
广,广,traditional
广,廣,traditional
庄,莊,semantic
庄,庄,simplified
庄,庄,traditional
庄,莊,traditional
庅,麽,semantic
庅,麼,semantic
庆,慶,traditional
床,牀,semantic
庐,庐,simplified
庐,庐,traditional
庐,廬,traditional
庑,廡,traditional
库,庫,traditional
应,应,simplified
应,应,traditional
应,應,traditional
庙,廟,semantic
庙,庙,simplified
庙,庙,traditional
庙,廟,traditional
庞,龐,traditional
废,廢,traditional
庫,库,simplified
庬,厖,semantic
庲,𫷬,simplified
庵,菴,semantic
庸,㐯,semantic
庸,𠆌,semantic
庼,廎,traditional
庾,斞,semantic
廀,廋,semantic
廁,厠,semantic
廁,厕,simplified
廂,厢,simplified
廄,厩,simplified
廈,厦,semantic
廈,厦,simplified
廋,廀,semantic
廌,豸,semantic
廎,庼,simplified
廐,厩,semantic
廑,厪,semantic
廔,樓,semantic
廔,𫷹,simplified
廕,蔭,semantic
廕,𫷮,simplified
廗,𰏼,simplified
廚,厨,semantic
廚,厨,simplified
廝,㒋,semantic
廝,厮,semantic
廝,厮,simplified
廞,𫷷,simplified
廟,庙,semantic
廟,庙,simplified
廠,厰,semantic
廠,厂,simplified
廡,庑,simplified
廢,废,simplified
廣,广,simplified
廥,𰏶,simplified
廧,墻,semantic
廧,牆,semantic
廧,𪪞,simplified
廩,廪,simplified
廪,廩,traditional
廬,庐,simplified
廮,𫷾,simplified
廱,雝,semantic
廳,厅,simplified
廵,巡,semantic
延,𢌛,spoofing
廸,迪,semantic
廹,迫,semantic
廻,回,semantic
廻,迴,semantic
廼,乃,semantic
廼,迺,semantic
廿,卄,semantic
开,幵,semantic
开,开,simplified
开,开,traditional
开,開,traditional
异,異,traditional
弃,弃,simplified
弃,弃,traditional
弃,棄,traditional
弈,奕,semantic
弊,𡚁,semantic
弋,𢍺,semantic
弌,一,semantic
弌,壹,semantic
弍,二,semantic
弍,貳,semantic
弑,弒,traditional
弒,弑,simplified
弔,吊,semantic
张,張,traditional
弢,韜,semantic
弥,彌,traditional
弥,瀰,traditional
弦,絃,semantic
弪,弳,traditional
弯,弯,simplified
弯,弯,traditional
弯,彎,traditional
弳,弪,simplified
張,张,simplified
強,强,semantic
強,彊,semantic
強,强,simplified
弹,弹,simplified
弹,弹,traditional
弹,彈,traditional
强,強,semantic
强,彊,semantic
强,强,simplified
强,強,traditional
强,强,traditional
彀,够,semantic
彀,夠,semantic
彄,𫸩,simplified
彆,别,simplified
彈,弹,simplified
彊,強,semantic
彊,强,semantic
彌,弥,simplified
彍,𭚦,simplified
彎,弯,simplified
彐,彑,semantic
彑,彐,semantic
归,歸,semantic
归,归,simplified
归,归,traditional
归,歸,traditional
当,当,simplified
当,噹,traditional
当,当,traditional
当,當,traditional
录,錄,traditional
录,録,traditional
彙,汇,simplified
彝,彞,traditional
彞,彝,simplified
彟,彠,traditional
彠,彟,simplified
彥,彦,simplified
彦,彦,simplified
彦,彥,traditional
彦,彦,traditional
彨,彲,traditional
彫,㓮,semantic
彫,雕,semantic
彬,斌,semantic
彲,彨,simplified
彷,髣,semantic
彷,徬,semantic
彸,伀,semantic
彻,徹,traditional
往,徃,semantic
征,征,simplified
征,征,traditional
征,徵,traditional
徃,往,semantic
径,𮱻,spoofing
径,徑,traditional
後,后,simplified
徑,俓,semantic
徑,径,simplified
徒,𨑒,semantic
徕,徠,traditional
從,从,semantic
從,从,simplified
徠,倈,semantic
徠,勑,semantic
徠,徕,simplified
御,馭,semantic
御,御,simplified
御,御,traditional
御,禦,traditional
徤,健,semantic
徧,遍,semantic
復,复,simplified
復,復,simplified
復,復,traditional
徬,彷,semantic
徭,傜,semantic
徵,征,simplified
徵,徵,simplified
徵,徵,traditional
德,悳,semantic
德,惪,semantic
徹,澈,semantic
徹,彻,simplified
徿,𪫌,simplified
心,㣺,semantic
心,忄,semantic
忄,㣺,semantic
忄,心,semantic
忆,憶,traditional
忍,㣼,semantic
忏,懺,traditional
志,志,simplified
志,志,traditional
志,誌,traditional
志,𢖽,z-variant
忤,啎,semantic
忤,迕,semantic
忧,憂,traditional
忭,昪,semantic
忻,欣,semantic
忼,慷,semantic
忾,愾,traditional
怀,懷,semantic
怀,怀,simplified
怀,怀,traditional
怀,懷,traditional
态,態,traditional
怂,慫,traditional
怃,憮,traditional
怄,慪,traditional
怅,悵,traditional
怆,愴,traditional
怌,懷,semantic
怜,怜,simplified
怜,怜,traditional
怜,憐,traditional
怨,𠨝,semantic
怪,恠,semantic
怱,匆,semantic
怱,悤,semantic
怳,恍,semantic
总,總,traditional
怼,懟,traditional
怽,𢗿,z-variant
怿,懌,traditional
恆,恒,semantic
恆,恒,simplified
恆,恒,z-variant
恊,勰,semantic
恋,戀,semantic
恋,恋,simplified
恋,恋,traditional
恋,戀,traditional
恍,怳,semantic
恐,𢙢,semantic
恒,恆,semantic
恒,恒,simplified
恒,恆,traditional
恒,恒,traditional
恒,恆,z-variant
恠,怪,semantic
恡,吝,semantic
恡,悋,semantic
恤,卹,semantic
恥,耻,semantic
恥,耻,simplified
恩,摁,semantic
恳,懇,traditional
恶,噁,traditional
恶,惡,traditional
恸,慟,traditional
恹,懨,traditional
恺,愷,traditional
恻,惻,traditional
恼,恼,simplified
恼,恼,traditional
恼,惱,traditional
恽,惲,traditional
恿,慂,semantic
悁,懁,semantic
悅,悦,semantic
悅,悦,simplified
悅,悦,z-variant
悊,哲,semantic
悋,吝,semantic
悋,恡,semantic
悏,𫺂,simplified
悐,惕,semantic
悓,𮲁,simplified
悚,𢥠,semantic
悞,誤,semantic
悞,悮,simplified
悠,滺,semantic
悤,匆,semantic
悤,怱,semantic
悦,悅,semantic
悦,悅,traditional
悦,悅,z-variant
悫,愨,traditional
悫,慤,traditional
悬,懸,traditional
悭,慳,traditional
悮,悞,traditional
悯,憫,traditional
悳,德,semantic
悵,怅,simplified
悶,㥃,semantic
悶,懣,semantic
悶,闷,simplified
惀,𰑄,simplified
惇,敦,semantic
惊,驚,traditional
惕,悐,semantic
惛,惽,semantic
惝,𢠵,semantic
惡,恶,simplified
惧,懼,semantic
惧,惧,simplified
惧,惧,traditional
惧,懼,traditional
惨,慘,traditional
惩,懲,semantic
惩,惩,simplified
惩,惩,traditional
惩,懲,traditional
惪,德,semantic
惫,憊,traditional
惬,愜,traditional
惭,慚,traditional
惮,憚,traditional
惯,慣,traditional
惱,恼,simplified
惲,恽,simplified
惺,𢜫,semantic
惻,恻,simplified
惽,惛,semantic
愇,𫹴,simplified
愈,愉,semantic
愉,愈,semantic
愍,憫,semantic
愛,爱,simplified
愜,惬,simplified
愠,慍,semantic
愠,愠,simplified
愠,愠,traditional
愠,慍,traditional
愤,憤,traditional
愦,憒,traditional
愧,媿,semantic
愨,悫,simplified
愩,𫺌,simplified
愬,訴,semantic
愴,怆,simplified
愷,恺,simplified
愻,遜,semantic
愽,博,semantic
愾,忾,simplified
愿,願,semantic
愿,愿,simplified
愿,愿,traditional
愿,願,traditional
慁,㥵,semantic
慂,恿,semantic
慄,栗,simplified
慈,㤵,semantic
態,态,simplified
慍,愠,semantic
慍,愠,simplified
慐,𰑟,simplified
慑,懾,traditional
慖,𮲇,simplified
慘,惨,simplified
慙,慚,semantic
慙,𰑧,simplified
慚,慙,semantic
慚,惭,simplified
慞,傽,semantic
慟,恸,simplified
慣,惯,simplified
慤,悫,simplified
慪,怄,simplified
慫,怂,simplified
慭,憖,traditional
慮,虑,simplified
慯,𫹽,simplified
慱,𰑁,simplified
慲,𰒆,simplified
慳,悭,simplified
慶,庆,simplified
慷,忼,semantic
慸,𰑵,simplified
慹,𰑔,simplified
慺,㥪,simplified
慼,慽,semantic
慽,慼,semantic
慾,欲,semantic
憂,忧,simplified
憅,𮲄,simplified
憇,憩,semantic
憊,惫,simplified
憋,𢠳,semantic
憍,㤭,simplified
憐,怜,simplified
憑,凴,semantic
憑,𠗦,semantic
憑,凭,simplified
憒,愦,simplified
憔,顦,semantic
憖,慭,simplified
憙,喜,semantic
憚,惮,simplified
憝,譈,semantic
憝,懟,semantic
憢,𢙒,simplified
憤,愤,simplified
憦,𫺘,simplified
憩,憇,semantic
憪,𰑥,simplified
憫,愍,semantic
憫,悯,simplified
憮,怃,simplified
憯,㦧,semantic
憰,譎,semantic
憲,宪,simplified
憴,𰑪,simplified
憶,忆,simplified
憸,𪫺,simplified
憹,𢙐,simplified
懀,𢙓,simplified
懁,悁,semantic
懇,恳,simplified
應,应,simplified
懌,怿,simplified
懍,懔,simplified
懑,懣,traditional
懒,懶,traditional
懓,𭞄,simplified
懔,凛,semantic
懔,懍,traditional
懕,𰑕,simplified
懘,𰒒,simplified
懙,𫹮,simplified
懜,懵,semantic
懜,𢟼,simplified
懞,蒙,simplified
懟,憝,semantic
懟,譈,semantic
懟,怼,simplified
懠,𫺊,simplified
懣,㥃,semantic
懣,悶,semantic
懣,懑,simplified
懤,㤽,simplified
懥,懫,semantic
懧,㤖,simplified
懨,恹,simplified
懩,𫺪,simplified
懫,懥,semantic
懫,𰑬,simplified
懭,𰐾,simplified
懰,𰑙,simplified
懲,惩,semantic
懲,惩,simplified
懵,懜,semantic
懶,懒,simplified
懷,怀,semantic
懷,怌,semantic
懷,怀,simplified
懸,悬,simplified
懺,忏,simplified
懼,惧,semantic
懼,惧,simplified
懽,歡,semantic
懽,欢,semantic
懾,慑,simplified
戀,𤕈,semantic
戀,恋,simplified
戁,𫺷,simplified
戃,𰑿,simplified
戆,戇,traditional
戇,戆,simplified
戉,鉞,semantic
戋,戔,traditional
戏,戏,simplified
戏,戏,traditional
戏,戲,traditional
戔,戋,simplified
戗,戧,traditional
战,战,simplified
战,战,traditional
战,戰,traditional
戠,只,simplified
戠,戠,simplified
戠,戠,traditional
戧,創,semantic
戧,戗,simplified
戩,戬,simplified
戬,戩,traditional
戯,戲,semantic
戯,戱,traditional
戰,战,simplified
戰,𢧐,simplified
戱,戲,semantic
戱,戯,simplified
戲,戯,semantic
戲,戱,semantic
戲,戏,simplified
戶,户,simplified
戶,户,z-variant
戶,戸,z-variant
户,户,simplified
户,戶,traditional
户,户,traditional
户,戶,z-variant
户,戸,z-variant
戸,戶,z-variant
戸,户,z-variant
戹,厄,semantic
戼,卯,semantic
扅,扊,semantic
扊,扅,semantic
手,扌,semantic
扌,手,semantic
才,才,simplified
才,才,traditional
才,纔,traditional
扎,紮,semantic
扑,撲,semantic
扑,扑,simplified
扑,扑,traditional
扑,撲,traditional
托,拓,semantic
扞,捍,semantic
执,執,semantic
执,执,simplified
执,執,traditional
执,执,traditional
扩,擴,traditional
扪,捫,traditional
扫,掃,traditional
扬,揚,traditional
扯,撦,semantic
扰,擾,traditional
扳,攀,semantic
扵,于,semantic
扵,亏,semantic
扵,於,semantic
扼,㧖,semantic
扼,搤,semantic
抌,舀,semantic
抍,拯,semantic
折,折,simplified
折,折,traditional
折,摺,traditional
抚,撫,traditional
抛,抛,simplified
抛,抛,traditional
抛,拋,traditional
抝,拗,semantic
抟,摶,traditional
抠,摳,traditional
抡,掄,traditional
抢,搶,traditional
护,護,traditional
报,報,semantic
报,报,simplified
报,報,traditional
报,报,traditional
抬,擡,semantic
抹,抺,spoofing
抺,抹,spoofing
抽,𢭆,semantic
抿,㨉,semantic
担,擔,semantic
担,担,simplified
担,担,traditional
担,擔,traditional
拇,𧿹,semantic
拋,抛,simplified
拏,拿,semantic
拏,挐,semantic
拓,托,semantic
拕,拖,semantic
拖,拕,semantic
拗,抝,semantic
拟,擬,traditional
拢,攏,traditional
拣,揀,traditional
拥,擁,traditional
拦,攔,traditional
拧,擰,traditional
拨,撥,traditional
择,擇,traditional
拭,𢂑,semantic
拯,抍,semantic
拼,摒,semantic
拿,拏,semantic
拿,挐,semantic
挂,掛,semantic
挂,挂,simplified
挂,挂,traditional
挂,掛,traditional
挐,拏,semantic
挐,拿,semantic
挙,𢸁,traditional
挚,摯,traditional
挛,挛,simplified
挛,挛,traditional
挛,攣,traditional
挜,掗,traditional
挝,撾,traditional
挞,撻,traditional
挟,挟,simplified
挟,挟,traditional
挟,挾,traditional
挠,撓,traditional
挡,挡,simplified
挡,挡,traditional
挡,擋,traditional
挢,撟,traditional
挣,掙,traditional
挤,擠,traditional
挥,揮,traditional
挦,撏,traditional
挩,捝,simplified
挩,捝,z-variant
挫,繲,semantic
挭,骾,semantic
挭,鯁,semantic
挱,挲,semantic
挲,挱,semantic
挷,搒,semantic
挼,捼,semantic
挽,挽,simplified
挽,挽,traditional
挽,輓,traditional
挾,挟,simplified
挿,插,z-variant
挿,揷,z-variant
捆,綑,semantic
捌,八,semantic
捍,扞,semantic
捏,揑,semantic
捓,揶,semantic
捝,挩,traditional
捝,挩,z-variant
捞,撈,traditional
损,損,traditional
捡,撿,traditional
换,換,traditional
捣,搗,traditional
捦,擒,semantic
捨,舍,simplified
捫,扪,simplified
捬,撫,semantic
据,据,simplified
据,据,traditional
据,據,traditional
捲,卷,simplified
捵,䥀,semantic
捶,箠,semantic
捷,㨗,semantic
捼,挼,semantic
掁,𰓄,simplified
掂,敁,semantic
掃,埽,semantic
掃,扫,simplified
掄,抡,simplified
掆,㧏,simplified
掏,搯,semantic
掐,𠜼,semantic
掗,挜,simplified
掙,挣,simplified
掚,𪭵,simplified
掛,挂,semantic
掛,挂,simplified
採,采,simplified
掩,揜,semantic
掬,匊,semantic
掳,擄,traditional
掴,摑,traditional
掷,掷,simplified
掷,掷,traditional
掷,擲,traditional
掸,撣,traditional
掺,摻,traditional
掼,摜,traditional
掽,碰,semantic
揀,拣,simplified
揅,研,semantic
揑,捏,semantic
插,挿,z-variant
插,揷,z-variant
揚,扬,simplified
換,换,simplified
揜,掩,semantic
揝,撍,semantic
揦,攋,semantic
揪,揫,semantic
揫,揪,semantic
揮,挥,simplified
揶,捓,semantic
揷,挿,z-variant
揷,插,z-variant
揸,楂,semantic
揸,摣,semantic
揺,搖,z-variant
揺,摇,z-variant
揽,攬,traditional
揾,揾,simplified
揾,揾,traditional
揾,搵,traditional
揿,撳,traditional
搀,攙,traditional
搁,擱,traditional
搂,摟,traditional
搃,總,semantic
搃,摠,semantic
搅,攪,traditional
搇,撳,semantic
搉,㩁,semantic
搉,㩁,z-variant
搊,𫼝,simplified
損,损,simplified
搎,𰓧,simplified
搒,挷,semantic
搖,摇,semantic
搖,摇,simplified
搖,揺,z-variant
搖,摇,z-variant
搗,擣,semantic
搗,捣,simplified
搜,𢯱,semantic
搜,𢲷,semantic
搞,攪,semantic
搤,㧖,semantic
搤,扼,semantic
搪,傏,semantic
搫,搬,semantic
搬,搫,semantic
搭,撘,semantic
搯,掏,semantic
搵,揾,simplified
搶,抢,simplified
携,攜,semantic
携,携,simplified
