entity_kind,key,kind,url,source,license
character,业,stroke_json,/data/30_strokes/hanzi_writer_data/data/业.json,hanzi-writer-data,APL
character,丛,stroke_json,/data/30_strokes/hanzi_writer_data/data/丛.json,hanzi-writer-data,APL
character,东,stroke_json,/data/30_strokes/hanzi_writer_data/data/东.json,hanzi-writer-data,APL
character,丝,stroke_json,/data/30_strokes/hanzi_writer_data/data/丝.json,hanzi-writer-data,APL
character,丞,stroke_json,/data/30_strokes/hanzi_writer_data/data/丞.json,hanzi-writer-data,APL
character,丟,stroke_json,/data/30_strokes/hanzi_writer_data/data/丟.json,hanzi-writer-data,APL
character,丢,stroke_json,/data/30_strokes/hanzi_writer_data/data/丢.json,hanzi-writer-data,APL
character,两,stroke_json,/data/30_strokes/hanzi_writer_data/data/两.json,hanzi-writer-data,APL
character,严,stroke_json,/data/30_strokes/hanzi_writer_data/data/严.json,hanzi-writer-data,APL
character,並,stroke_json,/data/30_strokes/hanzi_writer_data/data/並.json,hanzi-writer-data,APL
character,丧,stroke_json,/data/30_strokes/hanzi_writer_data/data/丧.json,hanzi-writer-data,APL
character,丨,stroke_json,/data/30_strokes/hanzi_writer_data/data/丨.json,hanzi-writer-data,APL
character,丩,stroke_json,/data/30_strokes/hanzi_writer_data/data/丩.json,hanzi-writer-data,APL
character,个,stroke_json,/data/30_strokes/hanzi_writer_data/data/个.json,hanzi-writer-data,APL
character,丫,stroke_json,/data/30_strokes/hanzi_writer_data/data/丫.json,hanzi-writer-data,APL
character,丬,stroke_json,/data/30_strokes/hanzi_writer_data/data/丬.json,hanzi-writer-data,APL
character,中,stroke_json,/data/30_strokes/hanzi_writer_data/data/中.json,hanzi-writer-data,APL
character,丰,stroke_json,/data/30_strokes/hanzi_writer_data/data/丰.json,hanzi-writer-data,APL
character,丱,stroke_json,/data/30_strokes/hanzi_writer_data/data/丱.json,hanzi-writer-data,APL
character,串,stroke_json,/data/30_strokes/hanzi_writer_data/data/串.json,hanzi-writer-data,APL
character,临,stroke_json,/data/30_strokes/hanzi_writer_data/data/临.json,hanzi-writer-data,APL
character,丵,stroke_json,/data/30_strokes/hanzi_writer_data/data/丵.json,hanzi-writer-data,APL
character,丶,stroke_json,/data/30_strokes/hanzi_writer_data/data/丶.json,hanzi-writer-data,APL
character,丷,stroke_json,/data/30_strokes/hanzi_writer_data/data/丷.json,hanzi-writer-data,APL
character,丸,stroke_json,/data/30_strokes/hanzi_writer_data/data/丸.json,hanzi-writer-data,APL
character,丹,stroke_json,/data/30_strokes/hanzi_writer_data/data/丹.json,hanzi-writer-data,APL
character,为,stroke_json,/data/30_strokes/hanzi_writer_data/data/为.json,hanzi-writer-data,APL
character,主,stroke_json,/data/30_strokes/hanzi_writer_data/data/主.json,hanzi-writer-data,APL
character,丽,stroke_json,/data/30_strokes/hanzi_writer_data/data/丽.json,hanzi-writer-data,APL
character,举,stroke_json,/data/30_strokes/hanzi_writer_data/data/举.json,hanzi-writer-data,APL
character,丿,stroke_json,/data/30_strokes/hanzi_writer_data/data/丿.json,hanzi-writer-data,APL
character,乂,stroke_json,/data/30_strokes/hanzi_writer_data/data/乂.json,hanzi-writer-data,APL
character,乃,stroke_json,/data/30_strokes/hanzi_writer_data/data/乃.json,hanzi-writer-data,APL
character,久,stroke_json,/data/30_strokes/hanzi_writer_data/data/久.json,hanzi-writer-data,APL
character,乇,stroke_json,/data/30_strokes/hanzi_writer_data/data/乇.json,hanzi-writer-data,APL
character,么,stroke_json,/data/30_strokes/hanzi_writer_data/data/么.json,hanzi-writer-data,APL
character,义,stroke_json,/data/30_strokes/hanzi_writer_data/data/义.json,hanzi-writer-data,APL
character,之,stroke_json,/data/30_strokes/hanzi_writer_data/data/之.json,hanzi-writer-data,APL
character,乌,stroke_json,/data/30_strokes/hanzi_writer_data/data/乌.json,hanzi-writer-data,APL
character,乍,stroke_json,/data/30_strokes/hanzi_writer_data/data/乍.json,hanzi-writer-data,APL
character,乎,stroke_json,/data/30_strokes/hanzi_writer_data/data/乎.json,hanzi-writer-data,APL
character,乏,stroke_json,/data/30_strokes/hanzi_writer_data/data/乏.json,hanzi-writer-data,APL
character,乐,stroke_json,/data/30_strokes/hanzi_writer_data/data/乐.json,hanzi-writer-data,APL
character,乑,stroke_json,/data/30_strokes/hanzi_writer_data/data/乑.json,hanzi-writer-data,APL
character,乒,stroke_json,/data/30_strokes/hanzi_writer_data/data/乒.json,hanzi-writer-data,APL
